**********
SEED 1
**********
Running Online Backpropagation...
Iteration 1	 Training error: 0.716442	 Test error: 0.725638
0 -- 3.19502e-104 1 -- 1 
1 -- 1 0 -- 3.01768e-29 
1 -- 1 0 -- 9.50219e-77 
1 -- 1.22563e-05 0 -- 0.999919 
0 -- 0 1 -- 1 
0 -- 2.28657e-49 1 -- 1 
0 -- 1 1 -- 1.97585e-126 
0 -- 2.76163e-136 1 -- 1 
1 -- 1 0 -- 3.04451e-149 
0 -- 3.43053e-143 1 -- 1 
1 -- 1 0 -- 4.58643e-132 
1 -- 1 0 -- 7.77366e-164 
1 -- 1 0 -- 9.67385e-08 
0 -- 1.41648e-101 1 -- 1 
1 -- 1 0 -- 2.58481e-49 
1 -- 1 0 -- 0.0103967 
1 -- 1 0 -- 6.07758e-175 
0 -- 0.930321 1 -- 1 
0 -- 1 1 -- 2.77555e-132 
0 -- 1.93467e-77 1 -- 1 
1 -- 1 0 -- 8.11087e-26 
0 -- 1 1 -- 8.39052e-143 
0 -- 0 1 -- 1 
1 -- 1 0 -- 6.60838e-140 
1 -- 1 0 -- 1.266e-89 
1 -- 1 0 -- 1.01052e-12 
1 -- 1 0 -- 5.74718e-27 
0 -- 2.27078e-178 1 -- 1 
0 -- 1 1 -- 7.3038e-44 
0 -- 6.42364e-194 1 -- 1 
0 -- 9.98633e-251 1 -- 1 
0 -- 1 1 -- 6.22675e-23 
0 -- 1 1 -- 2.14721e-71 
1 -- 1.22563e-05 0 -- 0.999919 
0 -- 3.16177e-293 1 -- 1 
0 -- 1 1 -- 5.95079e-61 
1 -- 1 0 -- 1.76996e-45 
1 -- 1 0 -- 2.69463e-100 
1 -- 1 0 -- 1.05239e-68 
1 -- 1 0 -- 5.76432e-212 
1 -- 1 0 -- 2.7192e-55 
0 -- 4.24673e-144 1 -- 1 
0 -- 1 1 -- 4.06542e-134 
1 -- 1 0 -- 1.93463e-12 
1 -- 1.13085e-17 0 -- 1 
1 -- 4.26396e-68 0 -- 1 
0 -- 7.54571e-14 1 -- 1 
0 -- 0 1 -- 1 
1 -- 1 0 -- 0.981459 
1 -- 1 0 -- 8.11087e-26 
1 -- 1 0 -- 1.05368e-38 
1 -- 1 0 -- 4.8389e-200 
0 -- 1 1 -- 6.72537e-49 
0 -- 1.80358e-12 1 -- 1 
1 -- 1 0 -- 4.05438e-113 
1 -- 1 0 -- 5.84567e-71 
1 -- 1 0 -- 8.34214e-121 
0 -- 1 1 -- 2.76237e-82 
1 -- 1 0 -- 5.68057e-70 
1 -- 1 0 -- 9.67385e-08 
0 -- 2.04942e-32 1 -- 1 
1 -- 1 0 -- 1.76996e-45 
0 -- 1.56713e-118 1 -- 1 
0 -- 1 1 -- 1.01052e-12 
1 -- 1.0381e-23 0 -- 1 
1 -- 1 0 -- 9.67385e-08 
1 -- 1 0 -- 2.87709e-51 
1 -- 1 0 -- 5.25159e-90 
0 -- 1 1 -- 9.10283e-136 
0 -- 3.00772e-235 1 -- 1 
1 -- 1 0 -- 0.999986 
1 -- 1 0 -- 1.06631e-159 
1 -- 7.47498e-26 0 -- 1 
1 -- 1 0 -- 6.64742e-92 
1 -- 0.999164 0 -- 4.91102e-05 
0 -- 2.81144e-39 1 -- 1 
1 -- 1 0 -- 1.33317e-82 
1 -- 1 0 -- 3.26014e-22 
0 -- 1 1 -- 3.27722e-24 
1 -- 1 0 -- 8.45259e-129 
1 -- 1 0 -- 1.64706e-122 
1 -- 1 0 -- 7.22799e-57 
1 -- 1 0 -- 1.63408e-33 
1 -- 1 0 -- 1.23302e-60 
0 -- 0.999992 1 -- 1 
1 -- 7.64307e-60 0 -- 1 
1 -- 1 0 -- 5.09148e-09 
0 -- 1 1 -- 3.73888e-169 
0 -- 1.39705e-148 1 -- 1 
1 -- 1 0 -- 5.60573e-132 
0 -- 3.24989e-236 1 -- 1 
0 -- 1 1 -- 9.74753e-09 
1 -- 0.0219197 0 -- 1 
1 -- 1 0 -- 1.6864e-134 
0 -- 9.61892e-08 1 -- 1 
1 -- 1 0 -- 2.46003e-66 
1 -- 1 0 -- 1.266e-89 
1 -- 1 0 -- 4.23425e-103 
1 -- 1 0 -- 2.3872e-82 
1 -- 1 0 -- 1.22691e-222 
0 -- 1.32526e-159 1 -- 1 
0 -- 8.3901e-107 1 -- 1 
0 -- 1.10232e-13 1 -- 1 
1 -- 1 0 -- 0.0103967 
0 -- 9.02393e-42 1 -- 1 
1 -- 1 0 -- 4.83568e-95 
1 -- 1.19932e-78 0 -- 1 
0 -- 0 1 -- 1 
0 -- 5.22483e-200 1 -- 1 
1 -- 1 0 -- 2.84374e-94 
1 -- 1 0 -- 2.18256e-165 
1 -- 1 0 -- 0.000288736 
0 -- 1 1 -- 9.91458e-53 
0 -- 1 1 -- 2.10102e-07 
0 -- 6.4082e-159 1 -- 1 
1 -- 1 0 -- 6.643e-142 
1 -- 1 0 -- 2.79351e-104 
1 -- 1 0 -- 1.13333e-58 
0 -- 1 1 -- 9.96653e-55 
0 -- 1 1 -- 3.04824e-119 
1 -- 1 0 -- 6.643e-142 
1 -- 1 0 -- 1.0423e-93 
1 -- 1 0 -- 2.63371e-121 
0 -- 1.22563e-05 1 -- 0.999919 
1 -- 1 0 -- 1.17413e-15 
1 -- 1 0 -- 8.29865e-119 
1 -- 1 0 -- 9.90799e-103 
1 -- 1.45208e-240 0 -- 1 
0 -- 1 1 -- 4.49324e-38 
1 -- 1 0 -- 2.5503e-70 
1 -- 6.61518e-18 0 -- 1 
0 -- 1 1 -- 3.28391e-178 
0 -- 1.69258e-176 1 -- 1 
1 -- 1 0 -- 7.22317e-107 
1 -- 1 0 -- 1.26815e-41 
1 -- 1 0 -- 5.59626e-180 
1 -- 0.254753 0 -- 2.73029e-11 
1 -- 1.38788e-113 0 -- 1 
1 -- 1 0 -- 9.67385e-08 
0 -- 2.34962e-34 1 -- 1 
1 -- 1 0 -- 4.42255e-81 
0 -- 0 1 -- 1 
0 -- 1.49026e-68 1 -- 1 
0 -- 1 1 -- 1.23584e-26 
1 -- 1 0 -- 5.45095e-64 
0 -- 0 1 -- 1 
0 -- 7.7115e-198 1 -- 1 
1 -- 1.97389e-72 0 -- 1 
1 -- 4.95012e-80 0 -- 1 
1 -- 1 0 -- 1.74824e-24 
1 -- 1 0 -- 1.33317e-82 
1 -- 1 0 -- 9.89784e-101 
0 -- 3.83536e-13 1 -- 1 
1 -- 1 0 -- 1.73657e-85 
0 -- 1 1 -- 2.15846e-73 
0 -- 7.29924e-214 1 -- 1 
0 -- 2.58195e-41 1 -- 1 
0 -- 0 1 -- 1 
0 -- 2.49677e-33 1 -- 1 
1 -- 5.15757e-257 0 -- 1 
0 -- 6.22979e-28 1 -- 1 
1 -- 1 0 -- 1.00929e-42 
0 -- 0 1 -- 1 
1 -- 1 0 -- 5.9669e-165 
1 -- 1 0 -- 5.25801e-60 
0 -- 1 1 -- 1.68752e-84 
1 -- 9.63421e-134 0 -- 1 
1 -- 8.65102e-16 0 -- 1 
0 -- 1.06497e-27 1 -- 1 
0 -- 1.07495e-05 1 -- 1 
0 -- 1 1 -- 1.93463e-12 
1 -- 1 0 -- 3.19507e-147 
1 -- 1 0 -- 3.83065e-17 
1 -- 1 0 -- 9.85086e-81 
0 -- 1 1 -- 3.12841e-33 
0 -- 5.61417e-266 1 -- 1 
0 -- 1.94811e-242 1 -- 1 
1 -- 1 0 -- 1.13333e-58 
0 -- 1 1 -- 3.26897e-126 
1 -- 1 0 -- 5.6472e-118 
0 -- 0 1 -- 1 
1 -- 1.99923e-131 0 -- 1 
0 -- 1.10279e-09 1 -- 1 
1 -- 1 0 -- 4.46436e-66 
0 -- 7.96599e-21 1 -- 1 
1 -- 1 0 -- 1.266e-89 
1 -- 1 0 -- 2.52584e-95 
0 -- 1 1 -- 9.68489e-37 
0 -- 1 1 -- 1.29517e-155 
1 -- 1 0 -- 3.74306e-84 
0 -- 2.42054e-245 1 -- 1 
1 -- 2.21475e-30 0 -- 1 
0 -- 1 1 -- 7.62079e-20 
1 -- 1 0 -- 2.43644e-91 
0 -- 4.64655e-103 1 -- 1 
0 -- 2.35961e-228 1 -- 1 
1 -- 0 0 -- 1 
0 -- 1 1 -- 8.02106e-69 
1 -- 1 0 -- 7.93653e-76 
0 -- 1 1 -- 1.77923e-47 
0 -- 4.76414e-118 1 -- 1 
1 -- 1 0 -- 1.76996e-45 
1 -- 1 0 -- 1.54475e-137 
1 -- 1 0 -- 2.76237e-82 
1 -- 1 0 -- 1.20022e-11 
1 -- 1.87597e-35 0 -- 1 
0 -- 1 1 -- 5.28908e-167 
0 -- 7.6667e-59 1 -- 1 
1 -- 1 0 -- 3.26014e-22 
1 -- 1 0 -- 3.68211e-77 
0 -- 2.32956e-182 1 -- 1 
1 -- 1 0 -- 2.79351e-104 
1 -- 8.03336e-43 0 -- 1 
1 -- 1.25737e-09 0 -- 1 
0 -- 4.1923e-10 1 -- 1 
1 -- 4.95122e-28 0 -- 1 
0 -- 1 1 -- 5.68057e-70 
0 -- 2.74951e-34 1 -- 1 
0 -- 6.12745e-250 1 -- 1 
1 -- 1 0 -- 5.01591e-119 
0 -- 4.64392e-114 1 -- 1 
1 -- 1 0 -- 1.85522e-73 
1 -- 1 0 -- 9.0124e-114 
0 -- 1.6322e-63 1 -- 1 
0 -- 1.25737e-09 1 -- 1 
1 -- 1 0 -- 9.18569e-74 
0 -- 2.21668e-192 1 -- 1 
1 -- 1 0 -- 6.18518e-84 
1 -- 1.22563e-05 0 -- 0.999919 
0 -- 1 1 -- 2.26391e-34 
1 -- 6.91941e-259 0 -- 1 
0 -- 1 1 -- 1.76996e-45 
1 -- 1.86409e-286 0 -- 1 
0 -- 1 1 -- 3.33182e-86 
1 -- 1 0 -- 4.78764e-73 
1 -- 1 0 -- 5.36518e-107 
0 -- 1 1 -- 1.77923e-47 
0 -- 1 1 -- 3.46987e-142 
1 -- 1 0 -- 1.12156e-71 
1 -- 1 0 -- 5.91977e-59 
0 -- 1.19513e-42 1 -- 1 
1 -- 1.24532e-174 0 -- 1 
1 -- 3.10352e-64 0 -- 1 
0 -- 6.66123e-201 1 -- 1 
0 -- 1 1 -- 1.00929e-42 
1 -- 1 0 -- 8.15884e-75 
0 -- 1.43358e-194 1 -- 1 
0 -- 2.34962e-34 1 -- 1 
1 -- 1 0 -- 1.44961e-47 
0 -- 2.18844e-146 1 -- 1 
0 -- 9.10078e-28 1 -- 1 
1 -- 1 0 -- 9.74753e-09 
0 -- 0 1 -- 1 
1 -- 1 0 -- 1.27179e-141 
0 -- 1 1 -- 1.53584e-115 
1 -- 1 0 -- 5.71351e-92 
1 -- 1 0 -- 2.74461e-110 
1 -- 1 0 -- 3.21174e-35 
1 -- 1 0 -- 1.7678e-75 
1 -- 1 0 -- 1.42308e-124 
0 -- 1 1 -- 1.24398e-180 
1 -- 7.84092e-64 0 -- 1 
1 -- 1 0 -- 2.72879e-88 
0 -- 5.4564e-223 1 -- 1 
1 -- 1 0 -- 3.78061e-106 
1 -- 1 0 -- 2.93837e-68 
0 -- 0.999989 1 -- 1 
1 -- 1 0 -- 1.44208e-62 
0 -- 1 1 -- 1.16803e-127 
0 -- 4.13957e-140 1 -- 1 
0 -- 1 1 -- 4.86818e-34 
0 -- 5.16135e-211 1 -- 1 
0 -- 2.67058e-96 1 -- 1 
1 -- 1 0 -- 3.44241e-119 
0 -- 7.54571e-14 1 -- 1 
0 -- 5.09187e-211 1 -- 1 
0 -- 1.69367e-19 1 -- 1 
0 -- 5.47663e-247 1 -- 1 
1 -- 3.02417e-19 0 -- 1 
1 -- 6.33446e-151 0 -- 1 
1 -- 1 0 -- 0.999996 
1 -- 1 0 -- 8.62488e-21 
1 -- 1 0 -- 1.3348e-52 
0 -- 1 1 -- 4.44868e-33 
0 -- 8.87498e-176 1 -- 1 
0 -- 1 1 -- 5.0216e-51 
0 -- 1.22563e-05 1 -- 0.999919 
1 -- 1 0 -- 1.55247e-22 
1 -- 0.974491 0 -- 0.986889 
0 -- 1.42929e-38 1 -- 1 
1 -- 1 0 -- 2.08345e-174 
1 -- 2.6725e-27 0 -- 1 
1 -- 1 0 -- 3.04824e-119 
1 -- 1 0 -- 2.79165e-154 
0 -- 3.0089e-06 1 -- 0.867488 
1 -- 1 0 -- 1.22691e-222 
0 -- 1 1 -- 2.65768e-59 
1 -- 1 0 -- 5.17873e-53 
0 -- 4.47013e-60 1 -- 1 
0 -- 1 1 -- 2.14459e-101 
0 -- 1.32788e-270 1 -- 1 
1 -- 1.37972e-232 0 -- 1 
1 -- 1 0 -- 8.11087e-26 
0 -- 1.22563e-05 1 -- 0.999919 
1 -- 1.52188e-142 0 -- 1 
0 -- 1 1 -- 2.96075e-69 
0 -- 3.0868e-10 1 -- 0.99997 
0 -- 2.44287e-61 1 -- 1 
1 -- 1 0 -- 9.07071e-86 
0 -- 1.2948e-50 1 -- 1 
0 -- 1 1 -- 5.9158e-12 
0 -- 8.6939e-226 1 -- 1 
1 -- 1 0 -- 3.04824e-119 
1 -- 1.29881e-209 0 -- 1 
0 -- 0.901377 1 -- 0.114459 
0 -- 4.86829e-90 1 -- 1 
1 -- 1 0 -- 4.14829e-26 
1 -- 5.62486e-100 0 -- 1 
1 -- 9.86367e-16 0 -- 1 
1 -- 1 0 -- 7.77884e-114 
1 -- 1 0 -- 2.08207e-69 
1 -- 1 0 -- 8.80847e-21 
1 -- 1 0 -- 1.80667e-139 
1 -- 1.69215e-134 0 -- 1 
0 -- 8.26785e-90 1 -- 1 
0 -- 1.06497e-27 1 -- 1 
0 -- 0.999164 1 -- 4.91102e-05 
1 -- 1 0 -- 0.00105747 
1 -- 1 0 -- 7.82395e-136 
1 -- 2.54848e-24 0 -- 1 
1 -- 1 0 -- 2.2879e-106 
1 -- 1 0 -- 1.76996e-45 
1 -- 1 0 -- 7.72884e-142 
1 -- 1 0 -- 4.65502e-92 
0 -- 2.11776e-69 1 -- 1 
1 -- 1 0 -- 3.22858e-134 
0 -- 1 1 -- 2.43644e-91 
1 -- 1.22563e-05 0 -- 0.999919 
0 -- 0.106722 1 -- 0.710633 
1 -- 1 0 -- 4.20316e-117 
0 -- 1 1 -- 1.67873e-82 
1 -- 7.06599e-45 0 -- 1 
1 -- 1 0 -- 2.48852e-73 
1 -- 1 0 -- 2.64923e-56 
1 -- 2.1296e-82 0 -- 1 
0 -- 1.74177e-179 1 -- 1 
1 -- 1.13476e-270 0 -- 1 
0 -- 1 1 -- 3.63937e-103 
0 -- 4.97088e-198 1 -- 1 
0 -- 1 1 -- 4.43812e-17 
1 -- 1 0 -- 3.06421e-121 
1 -- 1 0 -- 2.96518e-120 
1 -- 1 0 -- 1.55794e-55 
0 -- 0 1 -- 1 
1 -- 1 0 -- 2.84722e-64 
0 -- 2.54738e-28 1 -- 1 
1 -- 9.86792e-12 0 -- 1 
0 -- 2.21139e-209 1 -- 1 
0 -- 1.16907e-122 1 -- 1 
0 -- 1.22563e-05 1 -- 0.999919 
1 -- 1 0 -- 3.59182e-95 
0 -- 1 1 -- 7.07651e-30 
1 -- 1 0 -- 6.87647e-95 
1 -- 1 0 -- 3.92153e-130 
1 -- 1 0 -- 5.76432e-212 
1 -- 1 0 -- 5.91977e-59 
1 -- 1 0 -- 2.06868e-97 
0 -- 7.07897e-48 1 -- 1 
1 -- 1 0 -- 3.49032e-77 
1 -- 1 0 -- 8.15884e-75 
0 -- 1.2949e-138 1 -- 1 
0 -- 1 1 -- 2.05652e-48 
1 -- 1 0 -- 3.04824e-119 
1 -- 1 0 -- 1.84555e-71 
1 -- 1 0 -- 1.70288e-22 
0 -- 1 1 -- 1.88593e-80 
1 -- 1 0 -- 2.99995e-77 
0 -- 1 1 -- 9.68489e-37 
1 -- 1 0 -- 4.43821e-131 
1 -- 2.75021e-76 0 -- 1 
1 -- 1 0 -- 4.1108e-71 
0 -- 0.930321 1 -- 1 
1 -- 1 0 -- 5.74718e-27 
1 -- 1 0 -- 4.48264e-39 
1 -- 3.59764e-09 0 -- 0.000692636 
1 -- 1 0 -- 3.20997e-112 
1 -- 1 0 -- 2.14721e-71 
0 -- 0 1 -- 1 
0 -- 6.82364e-63 1 -- 1 
0 -- 7.66928e-189 1 -- 1 
0 -- 3.10245e-23 1 -- 1 
1 -- 1 0 -- 1.48399e-63 
1 -- 1 0 -- 2.84722e-64 
1 -- 1 0 -- 2.41224e-69 
0 -- 1 1 -- 7.91215e-158 
1 -- 1 0 -- 2.26391e-34 
0 -- 1.75993e-69 1 -- 1 
1 -- 1 0 -- 5.11815e-11 
1 -- 1.15418e-76 0 -- 1 
1 -- 1 0 -- 3.14655e-55 
0 -- 1 1 -- 2.4331e-42 
0 -- 2.54738e-28 1 -- 1 
1 -- 1 0 -- 8.14887e-105 
1 -- 1 0 -- 1.66794e-110 
0 -- 1.10232e-13 1 -- 1 
1 -- 1 0 -- 1.08681e-119 
1 -- 1 0 -- 1.04904e-65 
0 -- 0 1 -- 1 
1 -- 1 0 -- 1.61931e-78 
0 -- 1 1 -- 1.37568e-121 
1 -- 1 0 -- 4.20036e-167 
0 -- 1 1 -- 1.01052e-12 
1 -- 1 0 -- 1.08187e-67 
0 -- 9.29121e-22 1 -- 0.999998 
0 -- 1 1 -- 6.22675e-23 
0 -- 1 1 -- 1.23584e-26 
0 -- 7.45021e-56 1 -- 1 
1 -- 1 0 -- 1.93006e-13 
1 -- 1.69258e-176 0 -- 1 
1 -- 1 0 -- 3.57309e-93 
0 -- 3.24735e-146 1 -- 1 
0 -- 1 1 -- 8.89684e-43 
1 -- 1 0 -- 2.07121e-67 
0 -- 1 1 -- 2.64599e-86 
0 -- 1.65055e-44 1 -- 1 
1 -- 2.71736e-49 0 -- 1 
0 -- 1.52337e-115 1 -- 1 
1 -- 0.914479 0 -- 5.44729e-17 
1 -- 1 0 -- 3.65844e-105 
1 -- 1 0 -- 4.46436e-66 
1 -- 1 0 -- 2.04279e-109 
1 -- 1 0 -- 4.8389e-200 
1 -- 1 0 -- 1.06761e-129 
1 -- 1 0 -- 2.55574e-137 
0 -- 9.61892e-08 1 -- 1 
1 -- 4.39566e-130 0 -- 1 
1 -- 1 0 -- 9.28736e-98 
1 -- 1 0 -- 3.23073e-84 
1 -- 1 0 -- 1.51252e-23 
0 -- 1 1 -- 6.87647e-95 
0 -- 1 1 -- 7.89517e-74 
1 -- 1 0 -- 9.10283e-136 
0 -- 1 1 -- 1.20704e-128 
1 -- 1 0 -- 3.89415e-138 
1 -- 1 0 -- 1.47445e-91 
1 -- 1 0 -- 8.15884e-75 
1 -- 1 0 -- 8.33658e-171 
1 -- 0.0948456 0 -- 1 
1 -- 9.61892e-08 0 -- 1 
1 -- 1 0 -- 5.8081e-99 
0 -- 1.05258e-215 1 -- 1 
0 -- 1.46598e-97 1 -- 1 
0 -- 0 1 -- 1 
0 -- 8.88417e-166 1 -- 1 
1 -- 1 0 -- 3.42173e-105 
0 -- 6.72623e-40 1 -- 1 
0 -- 5.48293e-96 1 -- 1 
1 -- 1 0 -- 4.83568e-95 
0 -- 1 1 -- 9.40354e-90 
0 -- 2.68213e-32 1 -- 1 
0 -- 9.61504e-161 1 -- 1 
1 -- 1.25737e-09 0 -- 1 
0 -- 1 1 -- 0.999627 
0 -- 3.78522e-82 1 -- 1 
0 -- 1 1 -- 1.5028e-51 
1 -- 8.35791e-30 0 -- 1 
1 -- 8.65102e-16 0 -- 1 
0 -- 1 1 -- 3.21933e-34 
1 -- 1 0 -- 1.266e-89 
1 -- 1 0 -- 1.77923e-47 
1 -- 1 0 -- 0.0103967 
1 -- 0.999968 0 -- 1 
0 -- 1 1 -- 6.96363e-83 
0 -- 8.24857e-76 1 -- 1 
0 -- 1 1 -- 0.981459 
0 -- 1 1 -- 1.70288e-22 
0 -- 1 1 -- 7.61148e-50 
0 -- 3.09869e-87 1 -- 1 
1 -- 1 0 -- 1.04357e-63 
1 -- 1 0 -- 6.30059e-179 
0 -- 1.25737e-09 1 -- 1 
0 -- 1 1 -- 1.53584e-115 
0 -- 1.26221e-86 1 -- 1 
1 -- 1 0 -- 5.19997e-123 
1 -- 1 0 -- 1.97343e-156 
1 -- 5.27651e-46 0 -- 1 
0 -- 1 1 -- 2.10102e-07 
1 -- 1 0 -- 1.88593e-80 
1 -- 1 0 -- 1.81714e-161 
0 -- 1.06497e-27 1 -- 1 
1 -- 1 0 -- 1.17492e-62 
1 -- 1 0 -- 2.6017e-127 
1 -- 0.999142 0 -- 0.000487177 
1 -- 1.48481e-23 0 -- 1 
1 -- 1 0 -- 6.97215e-53 
1 -- 1 0 -- 6.47051e-26 
1 -- 1 0 -- 4.32543e-52 
1 -- 1 0 -- 4.78764e-73 
1 -- 1 0 -- 1.04357e-63 
1 -- 1 0 -- 2.25856e-35 
0 -- 1 1 -- 8.76274e-133 
0 -- 2.05159e-93 1 -- 1 
1 -- 5.48248e-08 0 -- 1 
1 -- 1 0 -- 1.51252e-23 
1 -- 8.35791e-30 0 -- 1 
0 -- 4.91399e-68 1 -- 1 
1 -- 1 0 -- 1.96205e-134 
0 -- 1 1 -- 5.44732e-114 
0 -- 2.04359e-29 1 -- 1 
1 -- 1 0 -- 3.61839e-81 
1 -- 1 0 -- 2.97217e-22 
1 -- 2.4205e-144 0 -- 1 
0 -- 1.23079e-123 1 -- 1 
1 -- 1 0 -- 6.61278e-90 
1 -- 1 0 -- 5.25801e-60 
1 -- 1 0 -- 7.21915e-87 
1 -- 1 0 -- 4.28636e-97 
1 -- 1 0 -- 2.57056e-159 
1 -- 4.05324e-56 0 -- 1 
1 -- 1 0 -- 1.9868e-16 
0 -- 1 1 -- 8.34214e-121 
0 -- 2.43734e-15 1 -- 1 
0 -- 1 1 -- 1.04904e-65 
0 -- 2.89445e-84 1 -- 1 
0 -- 8.17751e-214 1 -- 1 
1 -- 1.06908e-152 0 -- 1 
1 -- 7.01333e-219 0 -- 1 
1 -- 1 0 -- 9.88574e-131 
0 -- 1 1 -- 6.72537e-49 
1 -- 4.65637e-241 0 -- 1 
1 -- 1 0 -- 3.71485e-197 
0 -- 5.52644e-145 1 -- 1 
0 -- 1 1 -- 6.21251e-57 
0 -- 1 1 -- 4.28636e-97 
1 -- 1 0 -- 2.54883e-33 
1 -- 1 0 -- 7.72884e-142 
0 -- 1 1 -- 0.0103967 
0 -- 1 1 -- 7.57181e-48 
0 -- 1 1 -- 4.48775e-68 
1 -- 1 0 -- 7.3038e-44 
1 -- 1 0 -- 2.54883e-33 
1 -- 1 0 -- 3.19109e-63 
1 -- 1 0 -- 1.39103e-58 
0 -- 1.50218e-241 1 -- 1 
0 -- 1.92408e-68 1 -- 1 
1 -- 0 0 -- 1 
1 -- 1 0 -- 8.9646e-44 
1 -- 1 0 -- 1.20131e-108 
0 -- 7.16966e-06 1 -- 0.999999 
1 -- 1.67184e-90 0 -- 1 
0 -- 7.74105e-18 1 -- 1 
0 -- 1 1 -- 3.33746e-38 
1 -- 1 0 -- 3.11003e-81 
0 -- 1 1 -- 6.51768e-182 
0 -- 0 1 -- 1 
0 -- 9.02004e-46 1 -- 1 
0 -- 1 1 -- 5.74718e-27 
1 -- 1 0 -- 1.05309e-18 
0 -- 0 1 -- 1 
1 -- 1 0 -- 1.93463e-12 
0 -- 1 1 -- 5.74015e-57 
1 -- 1 0 -- 1.48218e-93 
1 -- 1 0 -- 7.54784e-217 
0 -- 0.999164 1 -- 4.91102e-05 
1 -- 1 0 -- 1.12346e-23 
0 -- 0 1 -- 1 
1 -- 1.0119e-19 0 -- 1 
1 -- 1 0 -- 9.50219e-77 
0 -- 1.39264e-86 1 -- 1 
1 -- 1 0 -- 9.96653e-55 
1 -- 1 0 -- 1.09906e-141 
0 -- 0 1 -- 1 
1 -- 1 0 -- 1.24398e-180 
1 -- 1 0 -- 1.08753e-69 
0 -- 1 1 -- 7.66071e-22 
1 -- 0 0 -- 1 
1 -- 3.126e-31 0 -- 1 
1 -- 1 0 -- 2.08207e-69 
0 -- 1 1 -- 2.16211e-25 
1 -- 1 0 -- 6.70793e-30 
0 -- 2.0917e-228 1 -- 1 
0 -- 1 1 -- 3.1121e-31 
0 -- 0 1 -- 1 
1 -- 1.16906e-74 0 -- 1 
1 -- 2.15762e-170 0 -- 1 
1 -- 1 0 -- 8.59266e-153 
0 -- 1 1 -- 9.74753e-09 
0 -- 1.88504e-77 1 -- 1 
1 -- 6.23675e-262 0 -- 1 
1 -- 1 0 -- 8.89684e-43 
1 -- 6.63822e-86 0 -- 1 
0 -- 1.24191e-60 1 -- 1 
0 -- 1 1 -- 3.49032e-77 
1 -- 1 0 -- 2.04585e-160 
0 -- 7.64307e-60 1 -- 1 
1 -- 1 0 -- 1.90485e-102 
0 -- 1.88071e-279 1 -- 1 
0 -- 0.106722 1 -- 0.710633 
0 -- 1.0381e-23 1 -- 1 
0 -- 1 1 -- 1.44961e-47 
0 -- 1.31369e-129 1 -- 1 
0 -- 7.28229e-267 1 -- 1 
1 -- 1 0 -- 9.67385e-08 
1 -- 1.26169e-138 0 -- 1 
0 -- 1 1 -- 3.76727e-56 
1 -- 1 0 -- 6.97215e-53 
1 -- 0 0 -- 1 
0 -- 7.28415e-309 1 -- 1 
1 -- 1 0 -- 3.00195e-27 
1 -- 1 0 -- 2.52725e-115 
1 -- 1 0 -- 1.61931e-78 
1 -- 1 0 -- 3.26897e-126 
0 -- 1.22563e-05 1 -- 0.999919 
0 -- 2.159e-13 1 -- 0.997937 
1 -- 0 0 -- 1 
1 -- 0.999987 0 -- 1 
0 -- 1 1 -- 4.50758e-41 
1 -- 1 0 -- 6.08502e-145 
0 -- 1 1 -- 1.72173e-46 
1 -- 1.22563e-05 0 -- 0.999919 
1 -- 1 0 -- 1.48924e-113 
1 -- 1 0 -- 2.72879e-88 
0 -- 2.63589e-08 1 -- 1 
1 -- 0.999973 0 -- 9.72454e-10 
1 -- 6.63822e-86 0 -- 1 
0 -- 1 1 -- 7.3038e-44 
0 -- 6.72623e-40 1 -- 1 
1 -- 3.7373e-124 0 -- 1 
0 -- 5.62486e-100 1 -- 1 
0 -- 0 1 -- 1 
1 -- 1 0 -- 8.34678e-141 
1 -- 1 0 -- 2.61678e-149 
0 -- 1.0119e-19 1 -- 1 
0 -- 2.64879e-45 1 -- 1 
0 -- 8.57058e-38 1 -- 1 
1 -- 3.78522e-82 0 -- 1 
1 -- 1 0 -- 7.21915e-87 
0 -- 3.69e-166 1 -- 1 
0 -- 2.25394e-229 1 -- 1 
1 -- 1 0 -- 1.13333e-58 
1 -- 0.999973 0 -- 9.72454e-10 
0 -- 1.12198e-181 1 -- 1 
0 -- 1 1 -- 1.06016e-137 
1 -- 1 0 -- 1.43193e-61 
0 -- 1 1 -- 6.41214e-88 
0 -- 5.01182e-130 1 -- 1 
0 -- 2.44583e-83 1 -- 1 
1 -- 1 0 -- 9.0124e-114 
1 -- 1 0 -- 2.60314e-147 
1 -- 1 0 -- 0.0103967 
0 -- 3.78552e-170 1 -- 1 
1 -- 1.01497e-54 0 -- 1 
0 -- 1.0381e-23 1 -- 1 
0 -- 0 1 -- 1 
0 -- 1 1 -- 3.06421e-121 
0 -- 1.1538e-292 1 -- 1 
0 -- 0 1 -- 1 
1 -- 1 0 -- 6.37872e-86 
1 -- 1 0 -- 6.65113e-112 
1 -- 1 0 -- 1.38209e-86 
0 -- 1 1 -- 1.60979e-29 
0 -- 1 1 -- 2.43644e-91 
0 -- 0.00136785 1 -- 1 
0 -- 1 1 -- 7.22317e-107 
1 -- 1 0 -- 0.999996 
0 -- 9.37552e-150 1 -- 1 
1 -- 1 0 -- 1.3348e-52 
1 -- 1 0 -- 4.64956e-43 
1 -- 1.9473e-24 0 -- 1 
0 -- 2.69573e-45 1 -- 1 
0 -- 5.69697e-58 1 -- 1 
